index,code,title,source,lat,lon,plots,photo,url,detailed_map_url,group,url_class,img_class,marker-color,marker-symbol
13b,iwd-mj_pru,icewedgedegradation_mjorgenson_prudhoe,"Jorgenson et al., no date",70.225958,-148.397,,,,,13,,, ,square
13c,iwd-mj_cr,icewedgedegradation_mjorgenson_colvilleriver,"Jorgenson et al., no date",69.697347,-151.5275,,,,,13,,, ,square
13d,iwd-mj_anwr,icewedgedegradation_mjorgenson_anwr,"Jorgenson et al., no date",70.123387,-143.6125,,,,,13,,, ,square
14,ic_dw,Imnavait Creek (Walker et al. 1987),Walker et al. 1987,68.6178,-149.3035,84,Imnavait Creek (IC_SW).jpg,http://geobotanical.portal.gina.alaska.edu/catalogs/9612-alaska-arctic-vegetation-archive-imnavait-cree,http://agc.portal.gina.alaska.edu/plot-archive/plot-datasets/14-imnaviat-creek,0,,,#4caa4c,square
15,itex_se,ITEX Vegetation Plots (Elmendorf et al. 2012b),Elmendorf et al. 2012b,69.31,-144.94,,aava_itex_elmendorf_2012_site_photo.jpg,http://geobotanical.portal.gina.alaska.edu/catalogs/9787-alaska-arctic-vegetation-archive-international,,0,,,#86ef87,square
16,leg-dw,Legacy (Elias et al. 1996),Elias et al. 1996,71.322901,-156.617,61,legacy.jpg,http://geobotanical.portal.gina.alaska.edu/manager/catalogs/10672-alaska-arctic-vegetation-archive-legacy-vegeta,,0,,,#4caa4c,square
16a,leg-dw_brw,legacy_dwalker_barrow,Elias et al. 1996,71.322862,-156.6154,,,,,16,,, ,square
16b,leg-dw_bi,legacy_dwalker_barterisland,Elias et al. 1996,70.130793,-143.6374,,,,,16,,, ,square
17,npsan-mj,NPS Arctic Network (Jorgenson et al. 2009),Jorgenson et al. 2009a,68.098941,-159.6351,763,,http://geobotanical.portal.gina.alaska.edu/catalogs/10184-alaska-arctic-vegetation-archive-nps-arctic-ne,,0,,,#fc3,square
17a,npsan-mj_goa,arcticnetwork_mjorgenson_gatesofarctic,Jorgenson et al. 2009a,67.958101,-152.0436,,,,,17,,, ,square
17b,npsan-mj_ntkr,arcticnetwork_mjorgenson_noatakriver,Jorgenson et al. 2009a,68.098941,-159.6351,,,,,17,,, ,square
17c,npsan-mj_kv,arcticnetwork_mjorgenson_kobukvalley,Jorgenson et al. 2009a,67.069387,-158.8912,,,,,17,,, ,square
17d,npsan-mj_ck,arcticnetwork_mjorgenson_capekrusenstern,Jorgenson et al. 2009a,67.418622,-163.5283,,,,,17,,, ,square
17e,npsan-mj_blg,arcticnetwork_mjorgenson_beringlandbridge,Jorgenson et al. 2009a,65.803177,-164.5114,,,,,17,,, ,square
18,npra-mj,National Petroleum Reserve-Alaska (Jorgenson 2003),Jorgenson 2003,70.332379,-151.8706,285,,http://geobotanical.portal.gina.alaska.edu/catalogs/10673-alaska-arctic-vegetation-archive-national-petr,,0,,,#fc3,square
19,nom_wh,Nome (Hanson 1953),Hanson 1953,64.503629,-165.3969,8,,http://geobotanical.portal.gina.alaska.edu/catalogs/10681-alaska-arctic-vegetation-archive-nome,,0,,hidden,#777,square
20,nsflux_dw,"North Slope FLUX (Walker, 1995, 1996 unpublished)","Walker (1995, 1996 unpublished)",69.4239,-148.6903,29,,http://geobotanical.portal.gina.alaska.edu/catalogs/11487-alaska-arctic-vegetation-archive-north-slope-f,,0,,,#fc3,square
21,oum_je,Oumalik (Ebersole 1985),Ebersole 1985,69.842885,-155.9885,87,,http://geobotanical.portal.gina.alaska.edu/catalogs/9689-alaska-arctic-vegetation-archive-oumalik-veget,http://agc.portal.gina.alaska.edu/plot-archive/plot-datasets/21-oumalik,0,,,#4caa4c,square
22,png_mw,Pingo Vegetation Plots (M.D. Walker 1990),M.D. Walker 1990,70.269518,-148.5739,293,Pingos(PNG_MW).jpg,http://geobotanical.portal.gina.alaska.edu/catalogs/10665-alaska-arctic-vegetation-archive-pingo-vegetat,,0,,,#4caa4c,square
22a,png_mw_pru,pingos_mwalker_prudhoe,M.D. Walker 1990,70.269778,-148.5734,,,,,22,,, ,square
22b,png_mw_kup,pingos_mwalker_kuparuk,M.D. Walker 1990,70.326657,-149.5936,,,,,22,,, ,square
22c,png_mw_kad,pingos_mwalker_kadleroshilik,M.D. Walker 1990,70.054461,-147.4913,,,,,22,,, ,square
22d,png_mw_tr,pingos_mwalker_toolikriver,M.D. Walker 1990,69.781958,-149.1333,,,,,22,,, ,square
23,pop_ab,Poplar Vegetation Plots (Breen 2014),Breen 2014,69.104194,-147.9131,19,Poplars (POP_AB).jpg,http://geobotanical.portal.gina.alaska.edu/catalogs/9666-alaska-arctic-vegetation-archive-poplar-vegeta,http://agc.portal.gina.alaska.edu/plot-archive/plot-datasets/23-poplars,0,,,#4caa4c,square
24,pru_dw,Prudhoe Bay (D.A. Walker 1985),D.A. Walker 1985,70.25177,-148.5973,89,Prudhoe Bay (PRU_SW).jpg,http://geobotanical.portal.gina.alaska.edu/catalogs/9628-alaska-arctic-vegetation-archive-prudhoe-bay-v,http://agc.portal.gina.alaska.edu/plot-archive/plot-datasets/24-prudhoe-bay,0,,,#4caa4c,square
24a,pru_dw_kr,prudhoe_dwalker_kuparukriver,D.A. Walker 1985,70.308963,-148.9395,,,,,24,,, ,square
24b,pru_dw_padf,prudhoe_dwalker_padf,D.A. Walker 1985,70.333352,-148.769,,,,,24,,, ,square
24c,pru_dw_ap,prudhoe_dwalker_angelpingo,D.A. Walker 1985,70.289933,-148.7597,,,,,24,,, ,square
24d,pru_dw_pr,prudhoe_dwalker_putuligayukriver,D.A. Walker 1985,70.267395,-148.6436,,,,,24,,, ,square
24e,pru_dw_ibp,prudhoe_dwalker_ibptundrabiome,D.A. Walker 1985,70.251461,-148.5976,,,,,24,,, ,square
24f,pru_dw_ds2,prudhoe_dwalker_drillsite2,D.A. Walker 1985,70.267833,-148.4931,,,,,24,,, ,square
24g,pru_dw_sd,prudhoe_dwalker_sanddunes,D.A. Walker 1985,70.283268,-148.2865,,,,,24,,, ,square
24h,pru_dw_ed,prudhoe_dwalker_eastdock,D.A. Walker 1985,70.310594,-148.3199,,,,,24,,, ,square
24i,pru_dw_wd,prudhoe_dwalker_westdock,D.A. Walker 1985,70.371568,-148.538,,,,,24,,, ,square
25,pruarcsees_dw,Prudhoe Bay-ArcSEES (Walker et al. 2015),Walker et al. 2015,70.234,-148.472641,48,Prudoe Bay ArcSEES (PRUARCSEES_DW).jpg,http://geobotanical.portal.gina.alaska.edu/catalogs/11486-alaska-arctic-vegetation-archive-prudhoe-bay-a,,0,,,#fc3,square
